city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,month,year,day,is_night,high_risk
Pune,Maharashtra,18.680827,73.930388,2023-10-22,5:00,5,Sunday,1,highway,3,1,fog,low,32,high,weather,fatal,2,2,0,No Festival,10,2023,22,1,1
Mumbai,Maharashtra,18.817732,72.790846,2023-05-21,4:00,4,Sunday,1,urban,4,0,clear,high,34,low,weather,major,4,3,0,No Festival,5,2023,21,1,1
Mumbai,Maharashtra,19.096889,72.819424,2024-07-10,13:00,13,Wednesday,0,urban,3,0,fog,low,21,medium,weather,minor,1,1,0,No Festival,7,2024,10,0,0
Chandigarh,Punjab,30.787805,76.847507,2025-03-30,11:00,11,Sunday,1,urban,1,1,fog,low,30,high,distraction,minor,5,2,0,No Festival,3,2025,30,0,0
Chennai,Tamil Nadu,12.965155,80.283313,2024-01-25,16:00,16,Thursday,0,highway,3,1,clear,high,24,low,distraction,minor,2,1,0,No Festival,1,2024,25,0,0
Delhi,Delhi,28.79949,77.049666,2024-07-29,8:00,8,Monday,0,urban,5,1,clear,high,36,high,overspeeding,fatal,4,4,1,No Festival,7,2024,29,0,1
Bangalore,Karnataka,13.064327,77.530941,2025-03-24,6:00,6,Monday,0,highway,3,0,clear,high,33,high,drunk driving,minor,4,4,0,No Festival,3,2025,24,0,0
Chandigarh,Punjab,30.786617,76.733947,2023-05-07,14:00,14,Sunday,1,urban,3,1,clear,high,25,low,weather,major,3,0,0,No Festival,5,2023,7,0,1
Hyderabad,Telangana,17.422447,78.464881,2022-02-25,3:00,3,Friday,0,urban,1,0,rain,low,22,low,poor road,minor,1,0,0,No Festival,2,2022,25,1,0
Bangalore,Karnataka,12.939033,77.498966,2024-03-31,4:00,4,Sunday,1,rural,3,1,clear,high,23,low,weather,minor,1,0,0,No Festival,3,2024,31,1,0
Chandigarh,Punjab,30.651926,76.876892,2022-03-23,13:00,13,Wednesday,0,highway,1,1,fog,low,34,medium,poor road,minor,3,3,0,No Festival,3,2022,23,0,0
Bangalore,Karnataka,12.936802,77.469957,2022-01-27,2:00,2,Thursday,0,urban,5,1,rain,medium,33,low,drunk driving,minor,2,0,0,No Festival,1,2022,27,1,0
Mumbai,Maharashtra,19.132036,72.76057,2023-11-28,9:00,9,Tuesday,0,highway,5,1,rain,low,17,medium,weather,major,4,1,1,No Festival,11,2023,28,0,1
Pune,Maharashtra,18.532452,73.841799,2024-03-25,8:00,8,Monday,0,highway,6,0,rain,low,40,medium,overspeeding,major,5,2,1,Holi,3,2024,25,0,1
Chandigarh,Punjab,30.721892,76.711388,2025-02-09,18:00,18,Sunday,1,urban,5,1,rain,medium,23,high,overspeeding,major,4,0,1,No Festival,2,2025,9,0,1
Chandigarh,Punjab,30.772308,76.768413,2024-03-18,8:00,8,Monday,0,rural,1,0,clear,high,23,high,drunk driving,minor,4,4,1,No Festival,3,2024,18,0,0
Hyderabad,Telangana,17.382285,78.551704,2023-08-03,11:00,11,Thursday,0,urban,6,0,rain,low,20,low,overspeeding,major,5,3,0,No Festival,8,2023,3,0,1
Chennai,Tamil Nadu,13.161404,80.197819,2023-09-26,21:00,21,Tuesday,0,urban,1,1,fog,low,30,medium,distraction,fatal,5,5,0,No Festival,9,2023,26,1,1
Hyderabad,Telangana,17.570411,78.310647,2024-08-14,18:00,18,Wednesday,0,urban,4,1,fog,low,21,high,distraction,fatal,1,1,1,No Festival,8,2024,14,0,1
Chandigarh,Punjab,30.629812,76.765481,2024-02-04,2:00,2,Sunday,1,urban,5,1,fog,low,36,low,poor road,minor,2,0,0,No Festival,2,2024,4,1,0
Kolkata,West Bengal,22.459848,88.361745,2022-11-04,1:00,1,Friday,0,highway,6,1,fog,low,30,low,drunk driving,fatal,5,5,0,No Festival,11,2022,4,1,1
Kolkata,West Bengal,22.692541,88.209956,2023-12-09,0:00,0,Saturday,1,urban,3,0,fog,low,25,medium,weather,minor,4,1,0,No Festival,12,2023,9,1,0
Bangalore,Karnataka,12.911401,77.624696,2024-08-06,3:00,3,Tuesday,0,urban,1,0,rain,low,26,medium,distraction,major,3,1,0,No Festival,8,2024,6,1,1
Chennai,Tamil Nadu,12.98416,80.153974,2023-07-26,23:00,23,Wednesday,0,urban,2,0,clear,high,36,medium,distraction,minor,3,2,0,No Festival,7,2023,26,1,0
Delhi,Delhi,28.528171,77.003017,2023-03-26,1:00,1,Sunday,1,highway,5,1,clear,high,29,high,drunk driving,minor,3,2,0,No Festival,3,2023,26,1,0
Delhi,Delhi,28.631253,77.168852,2022-11-02,14:00,14,Wednesday,0,highway,4,0,rain,low,32,high,overspeeding,major,1,0,0,No Festival,11,2022,2,0,1
Chennai,Tamil Nadu,12.964354,80.262971,2024-10-11,13:00,13,Friday,0,urban,6,0,clear,high,39,high,weather,major,1,1,0,No Festival,10,2024,11,0,1
Chennai,Tamil Nadu,13.171632,80.200311,2023-09-05,5:00,5,Tuesday,0,highway,4,1,rain,medium,29,high,weather,minor,1,1,0,No Festival,9,2023,5,1,0
Mumbai,Maharashtra,18.876038,72.816062,2024-01-09,8:00,8,Tuesday,0,rural,3,1,rain,medium,28,high,overspeeding,minor,1,1,1,No Festival,1,2024,9,0,0
Delhi,Delhi,28.494878,77.089734,2025-04-08,17:00,17,Tuesday,0,urban,6,0,fog,low,17,high,drunk driving,minor,4,0,1,No Festival,4,2025,8,0,0
Bangalore,Karnataka,13.181455,77.704682,2023-05-21,17:00,17,Sunday,1,rural,3,1,clear,high,36,high,distraction,minor,1,1,1,No Festival,5,2023,21,0,0
Mumbai,Maharashtra,19.277812,72.889938,2024-12-31,7:00,7,Tuesday,0,rural,6,0,clear,high,24,low,poor road,minor,3,1,0,No Festival,12,2024,31,0,0
Kolkata,West Bengal,22.644485,88.376914,2024-10-11,7:00,7,Friday,0,urban,6,1,fog,low,18,low,overspeeding,minor,5,4,0,No Festival,10,2024,11,0,0
Bangalore,Karnataka,13.007483,77.745779,2023-10-09,3:00,3,Monday,0,highway,1,0,rain,medium,23,medium,drunk driving,minor,4,4,0,No Festival,10,2023,9,1,0
Delhi,Delhi,28.767686,77.102505,2022-06-02,17:00,17,Thursday,0,rural,1,1,fog,low,27,medium,poor road,minor,5,2,1,No Festival,6,2022,2,0,0
Chandigarh,Punjab,30.79305,76.864728,2023-12-21,4:00,4,Thursday,0,highway,6,0,clear,high,35,low,overspeeding,minor,5,1,0,No Festival,12,2023,21,1,0
Delhi,Delhi,28.513789,77.26605,2024-01-02,14:00,14,Tuesday,0,rural,6,1,fog,low,24,high,drunk driving,minor,1,0,0,No Festival,1,2024,2,0,0
Chennai,Tamil Nadu,12.941766,80.271836,2023-02-19,18:00,18,Sunday,1,highway,5,1,clear,high,32,low,weather,fatal,4,4,1,No Festival,2,2023,19,0,1
Pune,Maharashtra,18.497326,73.919761,2023-12-04,6:00,6,Monday,0,rural,5,0,rain,medium,20,low,drunk driving,minor,2,1,0,No Festival,12,2023,4,0,0
Kolkata,West Bengal,22.568337,88.326718,2023-09-02,1:00,1,Saturday,1,rural,4,1,rain,medium,30,high,weather,minor,4,3,0,No Festival,9,2023,2,1,0
Mumbai,Maharashtra,18.945509,72.865677,2024-11-19,22:00,22,Tuesday,0,highway,5,1,rain,medium,40,high,distraction,minor,2,2,0,No Festival,11,2024,19,1,0
Chandigarh,Punjab,30.739178,76.722246,2023-07-21,9:00,9,Friday,0,urban,4,0,rain,medium,29,high,drunk driving,fatal,3,3,1,No Festival,7,2023,21,0,1
Hyderabad,Telangana,17.36441,78.442288,2022-03-01,22:00,22,Tuesday,0,urban,4,1,rain,medium,20,medium,overspeeding,major,1,0,0,No Festival,3,2022,1,1,1
Chennai,Tamil Nadu,13.174093,80.150346,2025-01-13,13:00,13,Monday,0,highway,2,1,clear,high,20,low,weather,minor,1,1,0,No Festival,1,2025,13,0,0
Chandigarh,Punjab,30.75772,76.718682,2022-11-01,0:00,0,Tuesday,0,rural,3,1,rain,medium,26,low,drunk driving,major,2,2,0,No Festival,11,2022,1,1,1
Bangalore,Karnataka,13.032625,77.614829,2024-06-21,9:00,9,Friday,0,urban,2,1,rain,medium,21,high,distraction,minor,1,1,1,No Festival,6,2024,21,0,0
Chandigarh,Punjab,30.774779,76.862232,2025-04-11,11:00,11,Friday,0,urban,6,1,rain,low,31,low,poor road,major,4,4,0,No Festival,4,2025,11,0,1
Delhi,Delhi,28.683622,77.273941,2023-02-06,15:00,15,Monday,0,rural,2,1,rain,medium,16,medium,poor road,major,3,3,0,No Festival,2,2023,6,0,1
Hyderabad,Telangana,17.384544,78.420669,2022-05-23,14:00,14,Monday,0,highway,4,0,rain,low,22,high,weather,major,2,0,0,No Festival,5,2022,23,0,1
Hyderabad,Telangana,17.217784,78.280672,2024-12-23,13:00,13,Monday,0,rural,3,1,fog,low,31,medium,distraction,major,2,2,0,No Festival,12,2024,23,0,1
Pune,Maharashtra,18.482992,73.944129,2024-02-29,9:00,9,Thursday,0,highway,2,1,clear,high,32,high,overspeeding,major,3,1,1,No Festival,2,2024,29,0,1
Hyderabad,Telangana,17.224481,78.470636,2023-02-23,7:00,7,Thursday,0,rural,3,1,fog,low,17,medium,drunk driving,major,2,2,0,No Festival,2,2023,23,0,1
Bangalore,Karnataka,12.863932,77.797043,2024-07-21,2:00,2,Sunday,1,urban,4,0,fog,low,15,low,drunk driving,major,1,0,0,No Festival,7,2024,21,1,1
Mumbai,Maharashtra,19.090552,72.9844,2023-03-14,21:00,21,Tuesday,0,rural,1,1,rain,low,29,medium,poor road,minor,3,0,0,No Festival,3,2023,14,1,0
Chandigarh,Punjab,30.790067,76.805399,2024-09-30,3:00,3,Monday,0,highway,5,1,rain,low,25,low,weather,major,3,1,0,No Festival,9,2024,30,1,1
Delhi,Delhi,28.502883,77.165457,2022-11-17,6:00,6,Thursday,0,urban,5,1,fog,low,32,medium,drunk driving,minor,3,3,0,No Festival,11,2022,17,0,0
Chandigarh,Punjab,30.774233,76.72531,2023-09-07,0:00,0,Thursday,0,urban,3,0,clear,high,40,low,distraction,major,2,1,0,No Festival,9,2023,7,1,1
Mumbai,Maharashtra,19.232608,72.869852,2023-06-04,6:00,6,Sunday,1,urban,6,0,fog,low,21,medium,weather,major,2,1,0,No Festival,6,2023,4,0,1
Chennai,Tamil Nadu,12.959773,80.153419,2022-06-28,2:00,2,Tuesday,0,urban,1,0,clear,high,31,low,overspeeding,minor,1,0,0,No Festival,6,2022,28,1,0
Chennai,Tamil Nadu,12.985135,80.226248,2025-03-28,23:00,23,Friday,0,rural,2,0,rain,low,25,high,overspeeding,fatal,4,4,0,No Festival,3,2025,28,1,1
Mumbai,Maharashtra,19.061169,72.872827,2024-04-17,14:00,14,Wednesday,0,urban,5,1,clear,high,19,low,poor road,minor,2,0,0,No Festival,4,2024,17,0,0
Delhi,Delhi,28.463133,76.976698,2024-12-31,9:00,9,Tuesday,0,rural,1,1,rain,medium,39,medium,distraction,major,1,0,1,No Festival,12,2024,31,0,1
Chennai,Tamil Nadu,12.852053,80.121615,2023-05-13,14:00,14,Saturday,1,urban,6,1,rain,medium,27,high,distraction,major,3,1,0,No Festival,5,2023,13,0,1
Chennai,Tamil Nadu,13.017299,80.224813,2024-04-02,0:00,0,Tuesday,0,rural,3,0,fog,low,26,low,overspeeding,major,4,1,0,No Festival,4,2024,2,1,1
Pune,Maharashtra,18.560997,73.811173,2024-08-17,23:00,23,Saturday,1,rural,2,1,fog,low,24,medium,drunk driving,major,2,2,0,No Festival,8,2024,17,1,1
Chennai,Tamil Nadu,12.97141,80.197487,2023-12-11,7:00,7,Monday,0,rural,4,1,rain,medium,18,high,drunk driving,major,1,0,0,No Festival,12,2023,11,0,1
Mumbai,Maharashtra,19.264702,72.886613,2022-09-22,10:00,10,Thursday,0,highway,1,1,clear,high,21,high,poor road,major,2,2,1,No Festival,9,2022,22,0,1
Mumbai,Maharashtra,18.811624,72.877651,2022-02-27,5:00,5,Sunday,1,rural,2,1,fog,low,17,high,drunk driving,minor,5,5,0,No Festival,2,2022,27,1,0
Chandigarh,Punjab,30.674067,76.774623,2024-04-23,21:00,21,Tuesday,0,rural,4,0,clear,high,36,high,distraction,major,3,1,0,No Festival,4,2024,23,1,1
Mumbai,Maharashtra,19.208566,72.896859,2023-05-26,6:00,6,Friday,0,highway,6,1,fog,low,34,low,poor road,major,1,1,0,No Festival,5,2023,26,0,1
Hyderabad,Telangana,17.530898,78.305176,2024-11-26,19:00,19,Tuesday,0,highway,2,1,fog,low,38,low,poor road,minor,3,3,1,No Festival,11,2024,26,0,0
Pune,Maharashtra,18.442448,73.878574,2024-03-03,14:00,14,Sunday,1,urban,4,0,fog,low,19,high,drunk driving,major,2,2,0,No Festival,3,2024,3,0,1
Delhi,Delhi,28.47365,77.060874,2023-03-24,11:00,11,Friday,0,highway,2,1,clear,high,21,high,weather,fatal,5,5,0,No Festival,3,2023,24,0,1
Bangalore,Karnataka,12.984625,77.767823,2022-09-21,6:00,6,Wednesday,0,rural,1,1,rain,low,19,low,distraction,fatal,1,1,0,No Festival,9,2022,21,0,1
Bangalore,Karnataka,12.954595,77.488507,2024-02-25,13:00,13,Sunday,1,highway,1,1,fog,low,29,medium,overspeeding,major,2,0,0,No Festival,2,2024,25,0,1
Chandigarh,Punjab,30.78901,76.887359,2022-05-02,19:00,19,Monday,0,urban,1,1,clear,high,23,high,weather,minor,4,0,1,No Festival,5,2022,2,0,0
Pune,Maharashtra,18.528017,73.850369,2023-09-05,6:00,6,Tuesday,0,urban,4,1,rain,low,39,low,poor road,minor,2,1,0,No Festival,9,2023,5,0,0
Pune,Maharashtra,18.549441,73.804096,2025-04-14,5:00,5,Monday,0,urban,4,1,fog,low,39,high,drunk driving,minor,2,0,0,No Festival,4,2025,14,1,0
Chennai,Tamil Nadu,12.919435,80.207627,2023-03-28,15:00,15,Tuesday,0,urban,2,1,fog,low,27,high,poor road,fatal,5,5,0,No Festival,3,2023,28,0,1
Delhi,Delhi,28.813866,77.149528,2025-01-31,21:00,21,Friday,0,urban,6,1,fog,low,19,high,poor road,minor,3,1,0,No Festival,1,2025,31,1,0
Chandigarh,Punjab,30.658767,76.836989,2024-03-01,14:00,14,Friday,0,highway,6,0,rain,medium,36,medium,drunk driving,major,3,1,0,No Festival,3,2024,1,0,1
Pune,Maharashtra,18.499609,73.81264,2024-06-14,6:00,6,Friday,0,highway,2,0,rain,medium,37,medium,overspeeding,minor,3,0,0,No Festival,6,2024,14,0,0
Kolkata,West Bengal,22.641847,88.381884,2024-11-05,22:00,22,Tuesday,0,rural,1,1,fog,low,30,low,overspeeding,minor,1,0,0,No Festival,11,2024,5,1,0
Hyderabad,Telangana,17.386509,78.48781,2022-04-11,0:00,0,Monday,0,rural,1,1,rain,medium,38,low,weather,major,3,0,0,No Festival,4,2022,11,1,1
Hyderabad,Telangana,17.335804,78.271751,2023-04-21,3:00,3,Friday,0,urban,5,1,fog,low,40,low,weather,major,2,2,0,No Festival,4,2023,21,1,1
Chandigarh,Punjab,30.645926,76.791403,2025-01-23,17:00,17,Thursday,0,highway,2,0,fog,low,36,medium,weather,major,3,2,1,No Festival,1,2025,23,0,1
Chennai,Tamil Nadu,12.93952,80.153093,2023-12-07,14:00,14,Thursday,0,rural,2,1,rain,low,25,medium,overspeeding,minor,5,1,0,No Festival,12,2023,7,0,0
Hyderabad,Telangana,17.512138,78.471549,2024-04-24,6:00,6,Wednesday,0,highway,1,0,rain,low,30,low,poor road,minor,5,5,0,No Festival,4,2024,24,0,0
Mumbai,Maharashtra,18.803193,72.982741,2022-09-28,4:00,4,Wednesday,0,highway,3,0,fog,low,19,low,distraction,minor,5,4,0,No Festival,9,2022,28,1,0
